epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1592.08,1.48275,1.85601,1.31071,0.68394,0.54941,0.65394,0.37686,1.34618,1.90874,1.20602,0.000660256,0.000660256,0.000660256
2,2792.25,1.3055,1.25385,1.19054,0.75648,0.65174,0.76823,0.48801,1.24615,1.62437,1.18111,0.0012075,0.0012075,0.0012075
3,3984.86,1.25022,1.06596,1.17544,0.79625,0.80918,0.84984,0.57735,1.18424,1.10982,1.14099,0.00163474,0.00163474,0.00163474
4,5172.59,1.2106,0.91814,1.14987,0.80718,0.81882,0.85434,0.55845,1.21021,0.97086,1.16695,0.00146,0.00146,0.00146
5,6371.83,1.15397,0.8398,1.11886,0.90318,0.86703,0.93446,0.66423,1.07575,0.73513,1.0729,0.00128,0.00128,0.00128
6,8294.82,1.10804,0.7609,1.08713,0.91192,0.86883,0.94317,0.65984,1.10545,0.69762,1.07192,0.0011,0.0011,0.0011
7,10383.2,1.06092,0.70167,1.06534,0.90749,0.86353,0.93697,0.68716,0.99501,0.68463,1.03641,0.00092,0.00092,0.00092
8,12507,1.03453,0.67109,1.04952,0.92713,0.89922,0.95737,0.70298,1.00143,0.60813,1.03466,0.00074,0.00074,0.00074
9,14634.2,0.98975,0.62643,1.03272,0.93188,0.91647,0.96528,0.73939,0.91878,0.57208,0.99716,0.00056,0.00056,0.00056
10,16136.3,0.94655,0.58366,1.01142,0.9461,0.93611,0.97485,0.75217,0.89432,0.52434,0.97791,0.00038,0.00038,0.00038
11,17347,0.90693,0.55123,0.99688,0.93324,0.93843,0.97332,0.76067,0.86635,0.51905,0.96803,0.0002,0.0002,0.0002
